driver	ladder	family	nodes	ranks	world	srcdir	rep	seconds	terms	terms_per_node	rss_sum_kb	rss_worst_kb	rss_ranks	gate
scale	weak_1569m	weak	64	512	8192	scale-hubbard-296ft-weak_1569m-r5-N64	4	224.1761	94684031363	1479437990	5644444360	11157028	512	ok
scale	weak_1569m	weak	64	512	8192	scale-hubbard-296ft-weak_1569m-r5-N64	5	228.5011	94684031363	1479437990	5643623520	11161412	512	ok
scale	weak_1569m	weak	8	64	1024	scale-hubbard-296ft-weak_1569m-r5-N8	1	220.3232	12255330837	1531916355	838017676	13175748	64	ok
scale	weak_1569m	weak	8	64	1024	scale-hubbard-296ft-weak_1569m-r5-N8	2	221.4774	12255330837	1531916355	838103564	13206640	64	ok
scale	weak_1569m	weak	8	64	1024	scale-hubbard-296ft-weak_1569m-r5-N8	3	216.8745	12255330837	1531916355	838164640	13192588	64	ok
scale	weak_1569m	weak	8	64	1024	scale-hubbard-296ft-weak_1569m-r5-N8	4	216.8477	12255330837	1531916355	838464960	13185724	64	ok
scale	weak_1569m	weak	8	64	1024	scale-hubbard-296ft-weak_1569m-r5-N8	5	221.3537	12255330837	1531916355	837777352	13188200	64	ok
scale	weak_377m	weak	1	8	128	scale-hubbard-296ft-weak_377m-r5-N1	1	46.7179	377482074	377482074	28069536	3554196	8	ok
scale	weak_377m	weak	1	8	128	scale-hubbard-296ft-weak_377m-r5-N1	2	46.8029	377482074	377482074	27907204	3543052	8	ok
scale	weak_377m	weak	1	8	128	scale-hubbard-296ft-weak_377m-r5-N1	3	46.5019	377482074	377482074	28056832	3545284	8	ok
scale	weak_377m	weak	1	8	128	scale-hubbard-296ft-weak_377m-r5-N1	4	46.4878	377482074	377482074	28074856	3559356	8	ok
scale	weak_377m	weak	1	8	128	scale-hubbard-296ft-weak_377m-r5-N1	5	46.4972	377482074	377482074	28015820	3540284	8	ok
scale	weak_377m	weak	16	128	2048	scale-hubbard-296ft-weak_377m-r5-N16	1	52.6936	6125805627	382862852	458501620	3651028	128	ok
scale	weak_377m	weak	16	128	2048	scale-hubbard-296ft-weak_377m-r5-N16	2	57.4920	6125805627	382862852	458906980	3647488	128	ok
scale	weak_377m	weak	16	128	2048	scale-hubbard-296ft-weak_377m-r5-N16	3	52.8011	6125805627	382862852	458557892	3647744	128	ok
scale	weak_377m	weak	16	128	2048	scale-hubbard-296ft-weak_377m-r5-N16	4	52.7713	6125805627	382862852	458732556	3652936	128	ok
scale	weak_377m	weak	16	128	2048	scale-hubbard-296ft-weak_377m-r5-N16	5	52.9163	6125805627	382862852	458837944	3651548	128	ok
scale	weak_377m	weak	2	16	256	scale-hubbard-296ft-weak_377m-r5-N2	1	49.4200	781669404	390834702	58524816	3718560	16	ok
scale	weak_377m	weak	2	16	256	scale-hubbard-296ft-weak_377m-r5-N2	2	49.5427	781669404	390834702	58678392	3734836	16	ok
scale	weak_377m	weak	2	16	256	scale-hubbard-296ft-weak_377m-r5-N2	3	49.5354	781669404	390834702	58669536	3745280	16	ok
scale	weak_377m	weak	2	16	256	scale-hubbard-296ft-weak_377m-r5-N2	4	49.5162	781669404	390834702	58638576	3712784	16	ok
scale	weak_377m	weak	2	16	256	scale-hubbard-296ft-weak_377m-r5-N2	5	49.4370	781669404	390834702	58674984	3712352	16	ok
scale	weak_377m	weak	32	256	4096	scale-hubbard-296ft-weak_377m-r5-N32	1	53.7033	12255330837	382979089	880514128	3546316	256	ok
scale	weak_377m	weak	32	256	4096	scale-hubbard-296ft-weak_377m-r5-N32	2	54.0452	12255330837	382979089	881285028	3571108	256	ok
scale	weak_377m	weak	32	256	4096	scale-hubbard-296ft-weak_377m-r5-N32	3	53.9065	12255330837	382979089	880601016	3579092	256	ok
scale	weak_377m	weak	32	256	4096	scale-hubbard-296ft-weak_377m-r5-N32	4	54.0086	12255330837	382979089	881016784	3578112	256	ok
scale	weak_377m	weak	32	256	4096	scale-hubbard-296ft-weak_377m-r5-N32	5	53.8912	12255330837	382979089	881200132	3552204	256	ok
scale	weak_377m	weak	4	32	512	scale-hubbard-296ft-weak_377m-r5-N4	1	51.2796	1569152761	392288190	117017836	3712152	32	ok
scale	weak_377m	weak	4	32	512	scale-hubbard-296ft-weak_377m-r5-N4	2	55.5744	1569152761	392288190	117131036	3703240	32	ok
scale	weak_377m	weak	4	32	512	scale-hubbard-296ft-weak_377m-r5-N4	3	51.2857	1569152761	392288190	116966668	3709084	32	ok
scale	weak_377m	weak	4	32	512	scale-hubbard-296ft-weak_377m-r5-N4	4	51.2131	1569152761	392288190	116899876	3706568	32	ok
scale	weak_377m	weak	4	32	512	scale-hubbard-296ft-weak_377m-r5-N4	5	51.4420	1569152761	392288190	117192556	3729228	32	ok
scale	weak_377m	weak	64	512	8192	scale-hubbard-296ft-weak_377m-r5-N64	1	61.9390	24419998198	381562472	1798297200	3584544	512	ok
scale	weak_377m	weak	64	512	8192	scale-hubbard-296ft-weak_377m-r5-N64	2	57.1828	24419998198	381562472	1797452768	3598276	512	ok
scale	weak_377m	weak	64	512	8192	scale-hubbard-296ft-weak_377m-r5-N64	3	57.2364	24419998198	381562472	1799004448	3588172	512	ok
scale	weak_377m	weak	64	512	8192	scale-hubbard-296ft-weak_377m-r5-N64	4	57.3492	24419998198	381562472	1799316764	3642108	512	ok
scale	weak_377m	weak	64	512	8192	scale-hubbard-296ft-weak_377m-r5-N64	5	57.4209	24419998198	381562472	1798518924	3648500	512	ok
scale	weak_377m	weak	8	64	1024	scale-hubbard-296ft-weak_377m-r5-N8	1	52.0709	3104527573	388065947	230246136	3661748	64	ok
scale	weak_377m	weak	8	64	1024	scale-hubbard-296ft-weak_377m-r5-N8	2	56.3436	3104527573	388065947	230715644	3649916	64	ok
scale	weak_377m	weak	8	64	1024	scale-hubbard-296ft-weak_377m-r5-N8	3	51.9224	3104527573	388065947	230737324	3650824	64	ok
scale	weak_377m	weak	8	64	1024	scale-hubbard-296ft-weak_377m-r5-N8	4	52.0834	3104527573	388065947	230390592	3654968	64	ok
scale	weak_377m	weak	8	64	1024	scale-hubbard-296ft-weak_377m-r5-N8	5	56.5256	3104527573	388065947	230938188	3659588	64	ok
